WKT,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"MULTILINESTRING ((107097.596277915 196338.978469089,107097.19585056 196339.978646347,107095.395000348 196346.478464277,107093.093768317 196355.578068078,107090.892538657 196364.977729357,107089.291262829 196372.277592896,107088.190275106 196378.777134157,107086.989448392 196385.377202262,107085.988576748 196391.97693374,107085.187662522 196398.576705175,107081.583804281 196424.876281097))",,,,"9000","9000",
"MULTILINESTRING ((107173.387851292 196398.389208085,107171.68773377 196398.388994771,107169.98773975 196398.288943497,107168.38747342 196398.288726575,107166.587692967 196398.288455305,107164.887575394 196398.288244216,107163.18783756 196398.387805259,107161.687485429 196398.387585059,107156.487679793 196398.887026465,107151.587405773 196400.386339786,107148.586948948 196401.785826474,107146.986968553 196402.58556905,107142.686686463 196405.484961152,107141.386472723 196406.784816134,107139.986286183 196408.184577506,107136.785516677 196412.684251362,107134.484821846 196417.783828025,107132.984082759 196423.083712836,107132.683388639 196428.583437621,107132.982495639 196434.083683562,107134.58197988 196439.384035564,107134.581928264 196439.683797314,107135.981164918 196444.084122677,107136.480361771 196448.583963883,107136.280039915 196453.083843284,107135.179305906 196457.583907118,107134.67898001 196458.883950419))",,,,"9000","9000",
"MULTILINESTRING ((106978.160026297 196594.361493239,106996.862641072 196575.764331489,107012.065711981 196554.266504652,107012.865790237 196552.866738683,107017.267001132 196544.567374032,107021.468219448 196536.367852632,107025.66943811 196527.968337911,107029.670715122 196519.468932108,107031.77112768 196514.469197855,107033.871985167 196508.469594846,107034.773002466 196502.269536776,107034.773593582 196497.669873514))",,,,"9000","9000",
"MULTILINESTRING ((105164.285376209 196608.85377654,105182.65962803 196600.107395239,105208.561794011 196585.410862179,105227.463313821 196574.113403548,105241.764092042 196567.815685137,105254.665067121 196562.917415905,105268.965624675 196558.419492954,105303.266870078 196548.724152055,105316.467426535 196543.326156367,105325.968524457 196537.22741308,105334.170039528 196525.028691767,105338.772502678 196509.529243817,105346.174884898 196492.230298057,105354.077183385 196476.031377778,105360.77840671 196467.132434368,105368.779801255 196457.93357095,105379.080811813 196450.035052043,105399.88230073 196439.038006761,105413.18325236 196432.240059522,105433.284638135 196423.042854301,105448.185729237 196414.644871959))",,,,"9000","9000",
"MULTILINESTRING ((106035.514736391 196913.8123652,106044.426227804 196834.913421455))",,,,"9000","9000",
"MULTILINESTRING ((106025.518372105 196945.496934883,106015.505582769 196980.424964272,106013.204527494 196988.124647323,106012.704077321 196990.324807599,106012.40360057 196992.924844469,106012.603435684 196993.524564454,106014.202690483 197000.924898,106018.901627519 197006.82563626,106025.601262883 197010.326585533,106059.400873367 197013.531478231))",,,,"9000","9000",
"MULTILINESTRING ((107038.303434432 196993.669913673,107037.50232067 197002.369993118,107037.001364639 197008.270009405,107036.300076315 197015.769637322,107035.599099979 197022.169726158,107035.098418359 197028.369571363,107034.39730155 197035.469553969,107033.496032314 197043.969296471,107032.795090122 197051.769036828,107032.094079451 197058.468996846,107031.493135045 197064.769011975,107030.79235045 197071.969018909,107030.091159968 197079.668958304,107029.290216327 197086.768502902,107028.789130861 197093.268564746,107027.988243709 197100.168442389,107027.187025545 197108.668323069,107026.485798566 197116.568484908,107025.784712186 197123.768235604,107024.983712732 197131.668068038,107022.980582956 197154.467607983,107021.678619335 197167.467582418,107020.677111362 197178.567536591,107019.776194624 197186.867339076,107018.073262313 197204.367062564,107000.373805045 197202.964656355))",,,,"9000","9000",
"MULTILINESTRING ((107462.698406244 197370.555469818,107462.649308034 197373.33001807,107461.846274844 197395.429946231))",,,,"9000","9000",
"MULTILINESTRING ((106567.915459422 196202.803659656,106545.51621226 196198.900285896,106536.616157838 196197.199239211,106527.416687119 196195.697939942,106518.616788466 196193.996589345,106508.316958349 196192.19524942,106495.817584762 196189.993339117,106482.817790782 196187.79161926,106471.217885354 196185.789784808,106460.418141258 196183.788383196,106450.51863618 196181.987072851,106443.118628424 196180.686005429,106436.818973236 196179.685130662,106431.018910242 196178.684417636,106426.719107429 196177.883467233,106423.219153459 196177.383204431,106420.719238877 196177.082738992,106417.419282658 196177.482273033,106415.319180086 196178.281875768,106412.618938842 196179.78156362,106410.01844894 196182.081224949,106406.218205275 196185.880767145,106402.117383725 196189.980089613,106397.71668033 196194.379437732,106393.916348604 196198.279136546,106390.115836769 196201.878370458,106384.814862924 196207.177738172),(106384.814862924 196207.177738172,106376.315512343 196203.176505916,106378.916568566 196196.676767648,106380.716961073 196193.177156511,106382.617690604 196188.877530155,106384.818096042 196184.477747917,106386.918839074 196180.078043834,106390.219578888 196173.778388616),(106150.008687998 197662.743923838,106224.107965923 197668.954441613,106241.906770173 197480.521917507,106263.948432276 197247.173616341,106287.903538168 196993.563570112,106293.515153204 196911.864611776,106307.431492308 196797.966712157,106312.238039255 196749.36728116,106315.846903134 196687.667733367,106322.756252329 196622.268740122,106329.765891618 196552.769914485,106339.781873815 196440.171158935,106350.28977489 196385.672801293,106356.498074564 196326.373817254,106359.403982689 196284.774033749,106363.009268428 196247.574616123,106367.311295101 196232.275124212,106384.814862924 196207.177738172))",,,,"9000","9000",
"MULTILINESTRING ((106997.115672837 196906.064202318,106931.384945893 196904.363860064),(106997.115672837 196906.064202318,106997.815852253 196905.564493515,106998.715970361 196905.16434328,106999.81579722 196905.064665095,106999.915939407 196904.864684892,107005.715950289 196904.865527618,107029.015788972 196905.16862804),(106997.115672837 196906.064202318,106996.415502479 196906.664115659,106995.815691082 196907.463923454,106995.415249112 196908.263843124,106990.213965612 196920.063291238,106988.913381076 196923.462956836,106984.211609224 196934.76225508,106979.310234294 196945.961848184,106966.806084581 196975.159764755,106965.605420317 196977.559808062,106955.803160222 196993.658226386,106953.602831138 196996.658011158,106951.802688097 196998.95777688,106949.802451991 197001.557669681,106947.902031543 197003.857384497,106944.101422301 197008.15676851,106938.500679644 197013.155939717,106933.100040783 197017.8549851,106928.399409602 197021.65445831,106922.398821833 197025.753801818,106917.698185806 197028.652840321,106911.498078978 197032.252014436,106904.997661445 197035.351035361,106896.996941036 197038.949990021,106888.296502758 197042.84863445,106882.49586531 197045.248005983,106873.095578852 197049.246702498,106859.394605362 197055.044734533,106844.693858091 197061.142770032,106831.793062293 197066.540960545,106821.492373731 197070.739439072,106810.091832544 197075.437765521,106795.391059965 197081.435591809,106778.690083921 197088.433416203,106763.089187096 197094.83111807,106741.888008066 197103.727967544,106739.087655454 197104.927581692,106729.787221568 197108.826469468,106718.986701024 197113.124826984,106707.085982039 197118.0229419,106695.685017115 197122.721546276,106685.18464339 197127.119740241,106674.383659271 197131.618392765,106663.683271847 197136.0169686,106653.882703974 197140.015623624,106641.881780438 197145.013894059,106630.081294434 197149.912139415,106618.480616328 197154.710489394,106605.67982092 197159.80878655,106593.279292679 197165.006988071,106581.778550305 197169.605367834,106569.677799773 197174.603669262,106558.47717568 197179.202164289,106549.376721388 197183.000586308,106538.676037888 197187.399130858,106528.275430199 197191.697564213,106517.974741145 197195.996311,106507.574103465 197200.294653925,106497.973571185 197204.293393824,106487.973268703 197208.292098224,106480.772667354 197211.191040246,106475.972357894 197213.390199491,106472.27218266 197215.489637498,106470.472018066 197217.089656593,106467.971321166 197219.889126491,106466.871303355 197221.689152991,106465.77079415 197224.288826239,106465.270354272 197226.788745974,106464.770065187 197230.488973998,106464.369147339 197234.788743396,106463.468037238 197243.688566324,106461.965678406 197260.588399434,106461.164622185 197268.18803589,106460.063132775 197277.987866371,106458.961327744 197289.887809145,106459.46000078 197300.587987873,106458.858692741 197309.987936574,106458.15750337 197317.687805601,106457.656696881 197324.78782128,106456.85517066 197333.187435186,106455.953674122 197345.387486044,106462.252619927 197351.088201917,106467.95198187 197356.389190928,106483.050276533 197369.891238504,106499.95128222 197362.993605469,106517.352030819 197355.895974567,106534.853086479 197348.698678039,106551.454348574 197341.80092585,106566.35497432 197335.803159889,106581.05607507 197329.705139223,106598.65688467 197322.507694821,106615.857742182 197315.510070973,106633.858898405 197308.112702942,106645.259463947 197303.414125273,106655.56025893 197299.315670894,106674.861241905 197291.318350907,106687.262077705 197286.320418425,106696.162519978 197282.521274668,106711.363397571 197276.323795163,106739.064985339 197264.927551473,106742.065362551 197263.728069118,106778.367166014 197248.833010502,106790.768060922 197243.734963216,106826.970062954 197228.940024945,106846.071083488 197221.042837127,106890.2737501 197202.949076322,106886.467846927 197243.748510396,106884.465135132 197263.34826363,106879.958860328 197309.447710483,106875.552351358 197354.646740137,106871.947004171 197391.746227187,106867.039739353 197442.145501514,106863.434695224 197479.045304493,106862.032743205 197493.744994646,106860.129521109 197515.444791918,106880.330445136 197507.047486342,106876.224378406 197550.346894406,106875.423402997 197557.946977845,106874.421973578 197568.346740055,106873.520521021 197577.646495359,106872.719511382 197585.446609292,106871.718006736 197596.246330409,106870.416160164 197609.146128038,106866.410288412 197649.945453518),(106958.41568834 197612.958411335,106928.013988862 197625.154197554,106919.613390087 197628.553141011,106906.912691631 197633.751307374,106886.211383862 197642.14850126,106866.410288412 197649.945453518),(106730.748946582 197704.979359468,106739.003101543 197701.627513002,106751.60398415 197696.629265003,106762.30441624 197692.230820865,106773.904981526 197687.632328876,106785.705881235 197682.734201218,106795.706427 197678.735225569,106805.506961992 197674.736920815,106817.307551435 197669.938606875,106829.008229457 197665.340142976,106841.409114714 197660.241853442,106852.809400199 197655.543537227,106865.510433402 197650.345318682,106866.410288412 197649.945453518),(106730.748946582 197704.979359468,106772.876754545 197809.854578172,106760.669996496 197836.220623878,106704.180784382 197859.022407046,106685.979980763 197866.419941087,106669.478895608 197873.117713961,106652.577627999 197879.915219166,106630.876693554 197888.711951788,106612.275560579 197896.209583961,106597.874639101 197902.007464238,106578.273528451 197909.804486915,106555.972288916 197918.701592011,106536.571089634 197926.598772988,106517.470119332 197934.195966507,106496.769135608 197942.393132085,106478.068194955 197949.99024612,106459.366933997 197957.587796563,106437.665551753 197966.284657945,106415.764617943 197975.081630616,106409.564988938 197970.380854858,106402.565968303 197965.079767047,106394.566587777 197959.178544769,106395.9689545 197944.778617714,106396.870096913 197935.078930613,106398.371940411 197922.079381362,106399.773906973 197907.77935415,106400.675425474 197897.679292524,106401.976914367 197885.479615766,106403.479425729 197870.879784118,106404.580821272 197858.579964979,106405.582387586 197847.880299842,106406.88436649 197834.480395175,106486.488786883 197802.991619112,106505.390061674 197795.494289178,106505.78981507 197795.194530509,106526.69108171 197786.797392389,106538.691681718 197781.898880366,106551.292499189 197776.900657485,106565.793216535 197771.00306339,106576.693937505 197766.604507702,106586.594722421 197762.605895172,106599.094987366 197757.607667778,106610.995784898 197752.809250488,106634.297383548 197743.712632955,106649.898184382 197737.314990526,106662.098726397 197732.416625689,106670.699375036 197728.81773436,106686.799972363 197722.519920327,106730.748946582 197704.979359468))",,,,"9000","9000",
"MULTILINESTRING ((106539.849515576 199492.198773301,106534.550995223 199480.497916683,106529.752471383 199470.197176295,106525.153807241 199460.496626878,106521.854941035 199453.296260957,106518.355929714 199446.195769368,106513.857439275 199436.395133106,106508.958789424 199426.094344206,106503.760290926 199415.393409663,106499.661666924 199406.593088399,106495.762685211 199398.192468122,106491.363858337 199389.191745293,106486.96541349 199380.291227343,106481.966918659 199369.590430379,106476.968406026 199358.889929901,106472.669490979 199350.189420238,106468.170958428 199340.388641086,106463.172476945 199329.487839025,106457.97404274 199318.786999855,106452.975559486 199308.086542113,106447.677024488 199296.985681956,106447.477089874 199296.485869382,106457.081681192 199263.987188431,106458.882308763 199258.887396183,106460.483245177 199253.587381161,106463.28456302 199243.68797785,106464.713261975 199238.806409004))",,,,"9000","9000",
"MULTILINESTRING ((107719.236860467 199578.465984254,107738.738350352 199567.368659891,107816.544791204 199522.279781297,107841.453463754 199462.383136864,107870.351359311 199474.48731865,107887.856931063 199435.289699294,107885.457482649 199432.689555188,107869.85887429 199422.787168067,107839.660788788 199409.282983624,107802.46301948 199392.37762456,107719.236860467 199578.465984254),(107741.128190348 199639.568751643,107711.636131658 199582.864611544,107719.236860467 199578.465984254))",,,,"9000","9000",
"MULTILINESTRING ((104377.944901597 194314.60830525,104384.754239064 194329.089740462,104378.215741694 194354.140576448,104367.682556095 194383.003513283,104353.700780075 194407.871693661,104322.136386426 194434.860821085))",,,,"9000","9000",
"MULTILINESTRING ((104373.962119425 192045.972951846,104381.491886376 192067.215105697,104423.246495256 192052.036614463))",,,,"9000","9000",
"MULTILINESTRING ((103814.059356516 192626.825442854,103813.450039872 192619.799835824,103827.655969611 192620.052072414,103829.960499289 192616.696966972))",,,,"9000","9000",
