"order_id","place_name_NL","place_name_FR","d","police_uqarter","canton_of_small_claims_court"
171,"Druifsteeg","rue des raisins","van vrijdagmarkt tot baudeloolei.",1,1
172,"Duivenstraatje","rue des pigeons","van engelstraat tot donkerstraat.",1,1
173,"Duivelsteeg","r. du diable","v. spiegelstr. tot herpelsteeg.",1,1
174,"Dwarsstraatje",,"ziet doorgangsteeg.",,
175,"Dwarsstraat","rue traversière","van muinkkaai tot dierentuindreef.",5,1
176,"Dwarsstraat",,"Ledeberg, ziet doorgangstraat.",,
177,"Eedverbondstraat","rue du compromis","van Citadellaan tot meerschstraat.","H 5",2
179,"Eendrachtstraat","rue de la concorde","van kasteellaan tot toekomststraat.",7,1
180,"Eikhoutstraat","rue de la chênaie","van kazernstraat tot citadellaan.",5,2
181,"Eggermontstraat","rue Eggermont","Ledeberg, van hundelgemschesteenweg tot vooruitgangplaats.",0,1
182,"Egmontstraat","rue d'Egmont","van kortrijkschesteenweg tot boulevard Leopold.","H 5",2
183,"Einde weire",,"is einde akkergemboulevard, linker kant.",,
184,"Eksterstraat","rue de la pie","van brugschesteenweg tot abrikoosstraat.",6,2
185,"Eliseesche velden","champs élysées","van noordkaai tot palinghuizen.",6,2
186,"Eliseescheveldenstraat","rue des champs élysées","van kerkstraat tot eliseesche velden.",6,2
187,"Elsstraat","rue de l'aulne","in den nieuwen rabotwijk, van de vlotstraat tot gasmeterboulevard.",6,2
188,"Engelstraat","rue de l’ange","van vrijdagmarkt tot garenplaats.",1,1
189,"Engelstraat","rue de l’ange","s. Amandsberg, van schoolstraat tot dendermondschesteenweg.",,
190,"Engelandgat","rue d'Angleterre","van s. michielsplein tot struifsteeg.",2,2
191,"Engelschenonnenstraat","rue des nonnes anglaises","van s. pietersnieuwstraat tot de opperschelde, muinkkaai.",5,2
192,"Esschestraat","rue du frêne","van verbindingstraat tot populierstraat.",3,1
193,"Fabriekplaats","place des fabriques","van s. Margrietestraat tot palingstraat.",3,1
194,"Fiennesdreef","avenue de Fiennes","van koornlei tot huurdochtersstraat.",2,2
195,"Fievéstraat","rue Fievé","van nieuwland tot dok.",3,1
196,"Filledieuzenham",,"ziet roodelijvekensstraat.",,
197,"Flobertstraat","rue flobert","van s. pietersplein tot s. amandstraat.",5,2
198,"Florastraat","rue de Flore","Ledeberg van Van Geertstraat tot Van Houttestraat Gentbrugge.",0,1
199,"Fortstraat","rue du fort","van kortrijksche steenweg tot zandstraat","H 5",2
200,"Frans Ackermanstraat","rue Frans Ackerman","van veerstraat tot apostelstraat.",4,1
201,"Fruitmarkt",,"ziet graslei.",,
202,"Frœbelstraat","rue Frœbel","van begijnhofplaats tot Verspeyenstraat.",2,2
203,"Galerij Vanderdonckt",,"ziet Vanderdonckt's doorgang.",,
204,"Galgenbergstraat","rue du calvaire","van holstraat tot twaalfkamersstraat.",2,2
205,"Galgestraat","rue de la potence","van kortrijkschesteenweg tot zwijnaardschesteenweg, s. Pieters-Aalst.","H 5",2
206,"Ganzendriesstraat","r. du pré des oies","van kortrijkschesteenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2
207,"Garenmarkt","marché au fil","van waaistr. tot speldenstr.",1,1
208,"Gasmeterlaan","boulevard du gazomètre","van tolhuisbrug tot eliseesche velden. ","3 en 6",1
209,"Gasmeterstraat","rue du gazomètre","van kerkstraat tot gasmeterboulevard.",6,1
210,"Gasthuisstraat","rue de l’hôpital","Ledeberg, van doorgangstraat tot moriaanstraat.",0,1
211,"Geitestraat","rue de la chèvre","van drongenscheweg tot rooigemstraat",6,2
212,"Geldmunt","rue de la monnaie","van veerleplaats tot lange steenstraat.",3,1
213,"Gelukstraat","r. du bonheur","v. baudeloolei tot oudevest.",1,1
214,"Gentstraat","rue de Gand","van antwerpsche steenweg tot slootendries (Oostakker).",,
215,"Gerardstraat","rue Gérard","s. Amandsberg, van antwerpschesteenweg tot meerschstraat.",,
216,"Gerechtshofplaats",,"ziet recollettenplein.",,
217,"Gerststraat","rue de l'orge","v. molenaarsstr. tot lievegang.",3,1
218,"Geuzenberg of hoek","montagne des infidèles","van vogelenzangkaai tot einde groot meerhem.",3,1
219,"Gewat",,"ziet groot gewat en klein gewat ",,
,"Gildestraat","rue de la confrérie","van s. jacobsnieuwstr. tot kalvermarkt.",1,1
220,"Godshuishammeken","rue de la maison-dieu","van slijpstraat tot huidevetterken en Van Caneghemstraat.",3,1
221,"Godshuizenstraat","rue des hospices","van de coupure links tot bijlokevest en godshuizenboulevard.",2,2
222,"Godshuizenlaan","boulevard des hospices","van citadellaan tot akkergemlaan.",2,2
223,"Goevernementstraat","r. du gouvernement, de la préfecture ou du haut-Escaut","van bij s. Baafs tot kortedagsteeg.",1,2
224,"Goudenleeuwplaats","place du lion d'or","van korte ridderstraat en kiekenmarkt tot klein turkije.",1,2
225,"Gouden sterrestraat","rue de l’étoile d'or","van zuidkaai tot brugschesteenweg.",6,2
226,"Goudstr.","rue d'or","van speldenstr. tot minnenmeersch.",1,1
227,"Graaf van Vlaanderenplaats",,"ziet statieplaats.",,
228,"Graslei","quai aux herbes","v. grasbrug tot predikheerenlei",1,2
229,"Gravenkasteel","château des comtes","op den hoek van de veerleplaats en van de geldmunt, maakt deel der veerleplaats.",3,1
230,"Groendreef","allée-verte","van zuidkaai tot Mariakerke.",6,2
231,"Groendreefsteeg","imp. de l’allée-verte","op de groendreef.",6,2
232,"Groenstraat","rue verte","van huidevetterskaai tot Van Caneghemsstraat.",3,1
233,"Groenenbriele",,"ziet fabriekplaats.",,
234,"Groenselmarkt","marché aux légumes ou aux herbes","van hoogpoort tot kortemunt, pensmarkt en vleeschhuisbr.",1,2
235,"Groot gewat","avenue de la cour","van burgstraat tot prinsenhof.",2,2
236,"Groote huidevettershoek","grand toquet","van walpoorbrugstraat tot corianderstraat.",5,2
237,"Groot kanonplaats","place du grand canon","van langemunt tot vrijdagmarkt.",1,1
238,"Groot meerhem","quai du grand marais","van chartreuzenstraat tot klein meerhem.",3,1
239,"Gruisberg","rue des décombres","ziet winkelsstraat.",,
240,"Guinardstraat","r. Guinard","v. bagattenstr. tot Plateaustr.",5,2
241,"Haanstraat","rue du coq","van meulesteedschesteenweg tusschen nrs 258 en 260 tot achtermuide.","H 3",1
242,"Ham","r. du jambon","van roodentorenkaai t. Fievéstraat.",7,1
243,"Hamerstraat","r. du marteau","v. groendreef t. kiekenstr.",6,1
244,"Haringsteeg","rue du hareng","v. geldmunt tot hertogstr.",3,1
245,"Harmoniestraat","rue de l'harmonie","Ledeberg, van driesstraat tot pacificatiestraat.",0,1
246,"Haspelstr.","r. du dévidoir","v. rooigemstr. t. ambeeldst.",6,2
247,"Hazewindstraat","r. du lévrier","v. koornmarkt t. graslei.",1,2
248,"Heiliggeeststraat","rue du s. esprit","van cataloniëstraat tot bennesteeg.",1,2
249,"Heillig Hartstraat","rue du sacré coeur","van dendermondsche steenweg tot koningstraat.",,
250,"Heilligkerststraat",,"ziet s. salvatorstraat.",,
251,"Heilig sacramentstraat","rue du s. sacrement","van korte meire tot veldstraat.",1,2
252,"Hel (de)",,"maakt deel van het nieuwland.",,
253,"Hemelrijkstraat","rue du paradis","ziet donkersteeg.",,
254,"Hendrik Consciencestraat","rue Henri Conscience","van Plateaustraat tot rogierstraat.",5,2
255,"Henegouwensstraat","rue du Hainaut","van Vlaanderenstraat tot kalanderstraat en volderstraat.",4,1
256,"Herderstraat","rue du berger","v. werkhuisstr. tot vlasstr.",6,2
257,"Herodeszak","cul de sac d’Hérodes","in de zaaimansstraat, rechter kant.",3,1
258,"Herpelsteeg","rue du canard","van ursulinenstraat tot s. jacobsnieuwstraat.",1,2
259,"Hertstraat","rue du cerf","van muinkkaai tot dwarsstraat.",6,1
260,"Hertogstraat","rue ducale","v. kraanlei tot plottersgracht.",3,1
261,"Heuvelstraat","rue de la colline","van s. Amandstraat tot heuvelpoort.",5,2
262,"Hippoliet Lammensstraat","rue Hipp. Lammens","van begijnenstraat tot Verspeyenstraat.",2,2
263,"Hoefijzerstraat","rue du fer à-cheval","van langemunt, links, tot de rivier, kraanlei.",1,1
264,"Hoefijzerstraat","rue du fer à-cheval","Ledeberg, van kleinen binnenweg tot doorgangstraat.",0,1
265,"Hofsteeg",,"ziet 2de prinsenhofzaksteeg.",,
266,"Hofstraat","rue du jardin","van muinkkaai tot dierentuindreef.",5,1
267,"Hofsstraat","rue du jardin","Ledeberg, van boulevardstr. tot bellevuestraat.",0,1
268,"Holstraat","rue de la caverne","van hoogstraat tot galgenbergstraat.",2,2
269,"Hoofdkerkstraat","rue de la cathédrale","van s. baafsstr. tot bisdomplaats.",1,2
270,"Hoogescheldestraat","rue du haut-escaut","ziet goevernementstraat.",,
271,"Hoogezonnestraat","rue haute du soleil","van veerleplaats tot burgstraat, onthoofdbrug.",3,1
272,"Hoogpoortstraat","rue hautport","van groenselmarkt tot nederpolder.",1,2
273,"Hoogpoortstraatje",,"ziet werregarenstraat.",,
274,"Hoogstraat","rue haute","v. poel tot brugschepoortstraat",2,2
275,"Hoogstraat","rue haute","s. Amandsberg, van Brunaustraat tot dendermondschesteenweg.",,
276,"Hoornstraat","rue de la corne","van veldstraat tot predikheerenbrug.",1,2
277,"Hooie","place des prés","van tweebruggenstraat tot Van Arteveldeplaats",4,1
278,"Hooiaard","place aux foins","van koornmarkt tot pensmarkt en graslei.",1,2
279,"Hospiciestraat","rue de l’hospice","Ledeberg, ziet gasthuisstraat.",0,1
280,"Hospitaalstraat","rue de l’hôpital","van akkergemstraat tot nieuwe wandeling.",2,2
281,"Hospitaalstraatje",,"ziet kleine hospitaalstraat.",,
282,"Houtbriel","rue du chantier","van oude schaapmarkt tot kalvermarkt.",1,1
283,"Houtlei","quai au bois","van torenbrug, hoogstraat, tot violettenlei.",2,2
284,"Hoveniersberg","montagne des jardiniers","van s. pietersnieuwstraat tot opperschelde, muinkkaai.",5,2
285,"Hoveniersstraat","rue des jardiniers","van hospitaalstraat tot akkergemboulevard.",2,2
286,"Hoveniersstraat","rue des jardiniers","Ledeberg, van brusselschesteenweg tot langestraat.",0,1
287,"Huidevetterken","rue des tanneurs","van slijpstraat tot nieuwland en godshuishammeken.",3,1
288,"Huidevetterskaai","quai des tanneurs","van achterlei tot nieuwland.",3,1
289,"Huidevettershoek",,"ziet groote en kl. huidevettershoek.",,
290,"Hulststraat","rue du houx","van brugsche steenweg tot peterceliestraat.",6,2
291,"Hundelgemschesteenweg","chaussée d’Hundelgem","Ledeberg, van s. lievenspoort tot Meirelbeke.",0,1
292,"Huurdochtersstraat","rue des servantes","van koornlei tot s. michielsplaats.",2,2
293,"Jerusalemstraat",,"ziet s. Barbarastraat.",,
294,"Jesuitensstraat",,"ziet voldersstraat.",,
295,"Jodenstraat","rue des juifs","van gouvernementstraat tot conservatoriumstraat.",1,2
296,"Jordaensstraat","rue Jordaens","van rondpunt kattenberg tot korte kazernstraat.",5,2
297,"Jozef II straat","rue Joseph II","in den nieuwen rabotwijk, van De Smetstraat tot boulevard van den gasmeter, aan de brug van den spoorweg.",6,2
298,"Kaatsplaats","place du jeu de paume","van Drongenhof tot korte kalversteeg.",3,1
299,"Kalanderberg","place de la calandre","van kalanderstraat tot kouterdreef en lange meire.",1,2
