observatie ID,plaats ID,crab ID,naam (NL),naam (NL) clean,naam (FR),plaatsbeschrijving,politiekwartier,kanton vredegerecht,datering,bron,Column,Column2,Column3
254,254,70054,Europalaan,Europalaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
256,3701,70065,Ferdinand Lousbergskaai,Ferdinand Lousbergskaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
257,257,181661,Fibulaplein,Fibulaplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
258,258,70073,Filips van Cleeflaan,Filips van Cleeflaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
259,259,142220,Floridastraat,Floridastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
260,3809,70089,Fortlaan,Fortlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
261,3655,70091,François Benardstraat,François Benardstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
262,4063,70092,François Laurentplein,François Laurentplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
263,"263
 ",70094,Frank Baurstraat,Frank Baurstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
264,264,70098,Frans De Coenestraat,Frans De Coenestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
265,13121,70106,Frans Rensstraat,Frans Rensstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
266,266,70116,Fregatstraat,Fregatstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
267,267,70120,Fuchsiastraat,Fuchsiastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
269,269,70128,Galvestonstraat,Galvestonstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
270,3818,70132,Ganzendries,Ganzendries,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
271,3797,70134,Garensteeg,Garensteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
272,272,197929,Gatti de Gamondstraat,Gatti de Gamondstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
273,273,70146,Gebroeders De Cockstraat,Gebroeders De Cockstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
274,3758,70147,Gebroeders De Smetstraat,Gebroeders De Smetstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
275,4430,70149,Gebroeders Vandeveldestraat,Gebroeders Vandeveldestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
276,276,197927,Gilbert Temmermanpad,Gilbert Temmermanpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
277,4324,70190,Gillis Coppinsstraat,Gillis Coppinsstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
278,278,70196,Goedendagstraat,Goedendagstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
279,279,70202,Gordunakaai,Gordunakaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
280,280,70203,Göteborgstraat,Göteborgstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
281,3838,70206,Goudenleeuwplein,Goudenleeuwplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
282,3841,70211,Gouvernementstraat,Gouvernementstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
283,3624,70212,Graaf Arnulfstraat,Graaf Arnulfstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
284,4016,70219,Grauwpoort,Grauwpoort,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
285,285,70221,Greenockstraat,Greenockstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
286,4202,70232,Groenebriel,Groenebriel,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
287,287,167639,Groot-Brittanniëhof,Groot-Brittanniëhof,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
288,288,70248,Groot-Brittanniëlaan,Groot-Brittanniëlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
290,3780,70259,Guldenspoorstraat,Guldenspoorstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
291,291,70265,Gustaaf Den Duitsdreef,Gustaaf Den Duitsdreef,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
292,292,70266,Gustaaf Eylenboschplein,Gustaaf Eylenboschplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
293,3871,70268,Gustaaf Magnelstraat,Gustaaf Magnelstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
294,294,70276,Hagedisstraat,Hagedisstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
295,3934,70278,Hagelandkaai,Hagelandkaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
296,296,70281,Halenpad,Halenpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
297,3855,70289,Hamburgstraat,Hamburgstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
298,298,70293,Handbalstraat,Handbalstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
299,299,70295,Handelsdokkaai,Handelsdokkaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
300,4615,70333,Hekelaarsstraat,Hekelaarsstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
301,3711,70343,Hendrik van Brederodestraat,Hendrik van Brederodestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
302,302,70344,Hendrik Waelputstraat,Hendrik Waelputstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
303,3872,70345,Henegouwenstraat,Henegouwensstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
304,304,218432,Henriette Casierpad,Henriette Casierpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
305,3873,70362,Herderstraat,Herderstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
306,306,70366,Hermelindepad,Hermelindepad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
307,3876,70369,Hertogstraat,Hertogstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
308,308,70387,Hof ter Mere,Hof ter Mere,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
309,309,70389,Hof van Fiennes,Hof van Fiennes,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
310,3883,70391,Hofbouwlaan,Hofbouwlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
311,311,70400,Hogeweg,Hogeweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
312,3887,70404,Holstraat,Holstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
313,3895,70413,Hoogstraat,Hoogstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
314,3897,70414,Hooiaard,Hooiaard,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
315,315,70422,Houtdoklaan,Houtdoklaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
316,316,70425,Houthulststraat,Houthulststraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
317,3906,70428,Hoveniersberg,Hoveniersberg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
318,318,70432,Hugo Van der Goesstraat,Hugo Van der Goesstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
319,319,70474,Jacob van Maerlantstraat,Jacob van Maerlantstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
320,320,70476,Jacques de Lalaingdreef,Jacques de Lalaingdreef,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
321,321,70478,Jadestraat,Jadestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
322,322,70509,Jan-Baptist Boterdaelestraat,Jan-Baptist Boterdaelestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
323,12504,70485,Jan Baptist Davidstraat,Jan Baptist Davidstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
324,324,70488,Jan Breydelstraat,Jan Breydelstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
325,4007,70494,Jan Palfijnstraat,Jan Palfijnstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
326,4387,70505,Jan van Stopenberghestraat,Jan van Stopenberghestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
327,4455,70506,Jan Verspeyenstraat,Jan Verspeyenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
328,328,70507,Jan Yoensstraat,Jan Yoensstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
329,329,70512,Jasmijnstraat,Jasmijnstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
330,330,70513,Jaspisstraat,Jaspisstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
331,331,159997,Jenny Montignypad,Jenny Montignypad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
332,332,221702,Jezuïetenpad,Jezuïetenpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
333,3916,70532,Jodenstraat,Jodenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
334,334,70536,John Kennedylaan,John Kennedylaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
335,335,70540,Joost Clemmenstraat,Joost Clemmenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
336,3988,70554,Jozef Kluyskensstraat,Jozef Kluyskensstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
337,4228,70557,Jozef Plateaustraat,Jozef Plateaustraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
338,13204,70558,Jozef Van Crombrugghestraat,Jozef Van Crombrugghestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
339,339,70564,Judoweg,Judoweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
340,340,70566,Jules Bretondreef,Jules Bretondreef,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
341,6500,70575,Julius de Vigneplein,Julius de Vigneplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
342,3919,70582,Kaarderijstraat,Kaarderijstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
343,3920,70583,Kaatsspelplein,Kaatsspelplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
344,344,70584,Kabelsteeg,Kabelsteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
345,345,221701,Kalanjebulk,Kalanjebulk,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
346,3923,70592,Kalvermarkt,Kalvermarkt,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
347,4051,70593,Kalversteeg,Kalversteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
348,3924,70595,Kammerstraat,Kammerstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
349,349,70599,Kanodreef,Kanodreef,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
350,3925,70603,Kanunnikstraat,Kanunnikstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
351,351,70604,Kapelaanstraat,Kapelaanstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
352,4633,70608,Kapittelstraat,Kapittelstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
353,3616,70614,Karel Antheunisstraat,Karel Antheunisstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
354,354,70619,Karel Lodewijk Dierickxstraat,Karel Lodewijk Dierickxstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
355,4065,70620,Karel Lodewijk Ledeganckstraat,Karel Lodewijk Ledeganckstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
