spacetime_volume_id,place_name,CRAB_code,CRAB,CRAB_code_comment,gent_gemapt_id,gent_gemapt_id_comment
76,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
77,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
78,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
79,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
80,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
81,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
82,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
83,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
84,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
85,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
86,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
87,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
88,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
89,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
90,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
91,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
92,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
93,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
94,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
95,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
96,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
97,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
98,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
99,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
100,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
101,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
102,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
103,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
104,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
105,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
106,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
107,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
108,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
109,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
