STR_NAAMKR,KAART,STRAATNAAM
Rue de l'Hôtel de Ville,zo,Stadhuissteeg
Marché aux Poulets,zo,Poeljemarkt
zonder naam,no,Muidelaan
zonder naam,no,Voormuide
Pont de la Porte du Sas,no,Houtdoklaan
Passage de la Rue Saint Liavin,zo,Krevelstraat
zonder naam,zo,Krevelstraat
Rempart de la Porte de Bruxelles,zo,Keizervest
Place du Marais,zw,Poel
Place St. Amand,zo,Sint-Amandstraat
Rue de la Vallée,zw,Onderbergen
Place St. Michel,zw,Sint-Michielsplein
Rue des Servantes,zw,Ravensteinstraat
Place Ste. Pharaïlde,nw,Sint-Veerleplein
Rue de Bruges,nw,Burgstraat
Rue haute du Soleil,nw,Rekelingestraat
Marché au Poisson,nw,Sint-Veerleplein
Quai des Tanneurs,no,Huidevetterskaai
Pont Vert,no,Moestuinstraat
Quai aux Violettes,zw,Oude Houtlei
Quai au Bois,zw,Oude Houtlei
Quai aux Oignons,zw,Ajuinlei
Quai aux Tilleuls,zw,Lindenlei
Pont du Jugement,zw,Recollettenlei
Quai des Recollets,zw,Recollettenlei
Quai de la Lieve,nw,Lievekaai
Rue d'Anvers,no,Dampoortstraat
Quai de la Tour Rouge,no,Rodetorenkaai
Quai des Augustins,nw,Augustijnenkaai
Vielle Rue des Meuniers,zo,Willem Wenemaerstraat
Quai des Moines,zo,Ter Platen
Rue Saint Georges,no,Steendam
Quai du Château,no,Hagelandkaai
Quai du Grand Bassin,no,Dok-Noord
Rempart de la Byloke,zw,Bijlokevest
Rempart de la Pecherie,zo,Ferdinand Lousbergskaai
Rempart de Plaisance,nw,Opgeëistenlaan
Rue aux Charrettes,zw,Karrenstraat
Rue Bélier,nw,Ramen
Rue du Bélier,nw,Ramen
Rue d'Angleterre,zw,Ingelandgat
Rue d'Or,no,Goudstraat
Rue Charles-Quint,zo,Keizer Karelstraat
Rue de Belgrade,zo,Belgradostraat
Rue de Bruxelles,zo,Brusselsepoortstraat
Rue de l'ancienne Porte du Sas,no,Sassevaartstraat/Bevelandstraat
Rue des Brasseurs,nw,Brouwersstraat
Rue du Chantier,zo,Houtbriel
Rue de la Confrérie,zo,Gildestraat
Marché aux Veaux,zo,Kalvermarkt
Rue de la Lieve,nw,Lievestraat
Pont de la Lieve,nw,Lievekaai
Rue de la Maison de Force,zw,Rasphuisstraat
Rue de la Monnaie,nw,Geldmunt
Rue longue des Pierres,nw,Lange Steenstraat
Rue de la Porte de Courtrai,zw,Kortrijksepoortstraat
Rue de la Raffinerie,no,Raffinaderijstraatje
Rue de la Sauge,zw,Krommenelleboog
Rue du Chaume,zw,Stoppelstraat
Rue d'Eau,zo,Sint-Pietersnieuwstraat
Rue des Chevaliers,zo,Ridderstraat
Rue de Frise,zo,Baaisteeg
Rue Royale,zo,Koningstraat
Rue Neuve Saint Jacques,zo,Sint-Jacobsnieuwstraat
Rue Basse,zo,Onderstraat
Rue des Grainiers,zo,Schepenhuisstraat
Rue des Navets,zo,Karel Antheunisstraat
kruispunt,no,Sint-Salvatorstraat
Rue des Raisins,no,Baudelostraat
Rue de l'Esturgeon,no,Penitentenstraat
Rue des Remouleurs,no,Sleepstraat
Rue des Tricheurs,nw,Jan Breydelstraat
Rue des Selliers,nw,Jan Breydelstraat
Rue de la Maison Dieu,no,Godshuishammeke
zonder naam,zo,Tweebruggenstraat
Rue des Violettes,zo,Lange Violettestraat
Rue des Violettes,zo,Lange Violettestraat
Rue aux Draps,nw,Drabstraat
Rue du Fil-tors,zo,Werregarenstraat
Rue Haute Porte,zw,Hoogpoort
Rue du Gouvernement,zo,Gouvernementstraat
Rue du Jambon,no,Ham
Rue St. Hubert,zo,Sint-Hubertusstraat
Rue du Laurier,zo,Jozef Plateaustraat
Rue du Pain Perdu,zw,Verlorenkost
Rue Courte d'Argent,nw,Zilverhof
Rue du Pot d'Etain,nw,Tinnenpotstraat
zonder naam,no,Dok-Zuid
Rue Fiévé,no,Désiré Fiévéstraat
Rue des Prêtres,no,Doornzelestraat
Rue du Château,no,Zonder-Naamstraat
Rue Leopold,no,Keizer Leopoldstraat
Rue longue de la Monnaie,no,Langemunt
Rue Neuve Saint Pierre,zo,Sint-Pietersnieuwstraat
Montagne des Jardines,zo,Hoveniersberg
Rue Florbert,zo,Florbertusstraat
Rue Saint Amand,zo,Sint-Amandstraat
Plaine St. Pierre,zo,Sint-Pietersplein
Rue Sainte Marguerite,nw,Sint-Margrietstraat
Rue Ste. Anne,zo,Sint-Annastraat
zonder naam,zo,Zuidparklaan
zonder naam,zo,Graaf van Vlaanderenplein
Saint Sauveur,no,Sint-Salvatorstraat
Pont aux herbes,nw,Grasbrug
Quai aux Herbes,nw,Graslei
kruispunt,nw,Sint-Elisabethplein
Plaine Ste. Elisabeth,nw,Sint-Elisabethplein
Quai du Ramage,nw,Vogelenzang
Place des Fabriques,nw,Sint-Vincentiusplein
Porte des Bruges,nw,Waldamkaai
Haute Rue de la Porte de Bruges,nw,Brugsepoortstraat
Coupure Rive Droite,zw,Coupure rechts
Petite Avenue de la Cour,nw,Sint-Widostraat
Rue des Semeurs,nw,Dobbelslot
Rue des Tanneurs,no,Huidevetterken
Passage Vander Donckt,zo,Pieter Vanderdoncktdoorgang
Maisons des Apôtres,zo,Apostelhuizen
Marché au Lin,zo,Vlasmarkt
Rue du Miroir,zo,Kwaadham
Rue aux Barres,zo,Barrestraat
Rue du Bas Poldre,zo,Nederpolder
Rue St. Bavon,zo,Kapittelstraat
Rue Basse de l'Escaut,zo,Geraard de Duivelstraat
Rempart Saint Jean,zo,Sint-Jansvest
Rue des Champs,zw,Veldstraat
zonder naam,no,Jakob Van Caeneghemstraat
Rue Terre Neuve,no,Nieuwland
Rue de la Calandre,zo,Kalandestraat
Rue de la Crapaudière,zo,Paddenhoek
Rue des Agneaux,zo,Lammerstraat
Rue du Verger,no,Corduwaniersstraat
Digue de Brabant,zo,Brabantdam
Rue des Peignes,zo,Kammerstraat
kruispunt,no,Rodekoningstraat
Rue aux Vents,no,Waaistraat
Marché du Vendredi,no,Vrijdagmarkt
zonder naam,no,Minnemeers
Pont du Pré d'Amour,no,Minnemeers
Pont de la Tour Rouge,no,Sint-Joriskaai
Quai de la Pêcherie,zo,Visserij
Pont de la Porte d'Anvers,no,Oktrooiplein
Rue du Tortillard,zo,Gebroeders Van Eyckstraat
zonder naam,zo,Veerkaai
Rue des Theresiennes,zw,Theresianenstraat
Rue Saint Jean,zo,Sint-Baafsplein
Place du Lion d'or,zo,Goudenleeuwplein
Plaine d'Exercices,zo,Kasteellaan
Rue Saint Pierre,zo,Tweekerkenstraat
Rue des Douze Chambres,zw,Twaalfkameren
Rue Courte du Jour,zo,Kortedagsteeg
Impasse du Paradis,zo,Paradijszak
Rue du Vieux Bourg,no,Oudburg
Rempart des Alexiens,zw,Sint-Michielsstraat/Watergraafstraat
zonder naam,zo,Zuidparklaan
Rue Saint Liévin,zo,Sint-Lievenspoortstraat
zonder naam,zo,Sint-Pietersnieuwstraat
Rue du Water-Grave,zw,Watergraafstraat
Pont St. Michel,zw,Sint-Michielshelling
Place d'Armes,zo,Kouter
Coupure Rive Gauche,zw,Coupure links
Rue de Savon,zw,Savaanstraat
Rue des Anglaises,zo,Sint-Pietersnieuwstraat
Courte du Marais,zw,Korte Meer
Rue des Decombres,zo,Notarisstraat
Les Sentiers,zo,Benedictijnenstraat
Pont St. Georges,no,Sint-Joriskaai
Rue d'Akkergem,zw,Ekkergemstraat
Rue des Casernes,zw,Kattenberg
Rue de la Colline,zo,Overpoortstraat
Porte d'Anvers,no,Antwerpenplein
Porte d'Anvers,no,Dok-Zuid
Rempart de la Pecherie,zo,Ferdinand Lousbergskaai
Rempart de la Pecherie,zo,Ferdinand Lousbergskaai
Voie de Raceordement entre la Staion du Chemin de Fer de l'Etat et l'Entrepôt de libre réexportation,zo,Kasteellaan
Rue d'Assaut,zw,Struifstraat
Rue de l'Omelette,zw,Struifstraat
Rue Saint Martin,zw,Sint-Martensstraat
