WKT,Name,description,tessellate,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"LINESTRING (3.73770071472 51.1038936199,3.73762646267 51.1037880495,3.73755918245 51.1036951015,3.73749468431 51.1036075632,3.73744844533 51.1035425953,3.73739933713 51.1034785101,3.73733628168 51.1033900796,3.73726757314 51.1032971235,3.73719463173 51.1032005481,3.73713716651 51.1031211388,3.73708250402 51.1030453372,3.73702077718 51.1029641041,3.73695904406 51.1028837716,3.7368889593 51.1027872122,3.73681887454 51.1026906555,3.73675853919 51.1026121282,3.73669548554 51.1025236961,3.73662542593 51.1024253388,3.73655248812 51.1023287638,3.73648240516 51.1022322073,3.73640808663 51.1021320291,3.73640529198 51.1021275215,3.73654629154 51.10183613,3.73657260679 51.101790426,3.73659609504 51.1017429073,3.73663726932 51.1016541374,3.73665824858 51.1016103669)",,,1,,,,9000,9000,
"MULTILINESTRING ((3.75452881092 51.1047563256,3.75480852474 51.1046580007,3.75592460063 51.1042583918,3.756287149 51.1037218251,3.75669832408 51.103832726,3.75695277727 51.1034816717,3.75691882095 51.1034581258,3.75669726586 51.103367984,3.75626769419 51.1032444045,3.75573858559 51.1030897421,3.75452881092 51.1047563256),(3.75483427764 51.1053071444,3.75441978329 51.1047953076,3.75452881092 51.1047563256))",,,1,,,,9000,9000,
"LINESTRING (3.70748256266 51.0571885267,3.70757787391 51.0573192302,3.70748148917 51.0575438872,3.70732765178 51.0578024951,3.7071251248 51.0580249241,3.70667155014 51.0582650318)",,,1,,,,9000,9000,
"LINESTRING (3.7077089426 51.036796321,3.70781364035 51.0369878516,3.70841080711 51.0368547002)",,,1,,,,9000,9000,
"LINESTRING (3.69965335239 51.0419730726,3.69964555232 51.0419098735,3.69984806852 51.041913272,3.6998813502 51.0418832977)",,,1,,,,9000,9000,
"LINESTRING (3.59357647928 51.0301335304,3.59359525047 51.0301216307,3.59364091454 51.0300816325,3.59377131847 51.0299265825,3.59389433107 51.0297789184,3.59401587313 51.0296421853,3.5941658828 51.0294961055,3.59446732417 51.029228043,3.59471021785 51.0290087989,3.59495097443 51.028795221,3.59515569329 51.0286140681,3.59521828611 51.0285588961,3.59536962079 51.0284388682,3.59552016496 51.0283408099,3.59590762541 51.0280994888,3.59631055125 51.0278444993,3.59673370806 51.0275796047,3.59714090988 51.0273239021,3.59752739476 51.0270812039,3.59775082464 51.0269396959,3.59862531211 51.0263885291,3.59886255628 51.0262387417)",,,1,,,,9031,9031,
"LINESTRING (3.64619069677 51.0457815288,3.64657837821 51.0460539957,3.64666191973 51.046042762)",,,1,,,,9031,9031,
"LINESTRING (3.64653550252 51.0469162867,3.64668734206 51.0469105307,3.64755041194 51.0463920859)",,,1,,,,9031,9031,
"LINESTRING (3.637478969 51.0469134075,3.63799556766 51.0463966103,3.63806337609 51.0463933007)",,,1,,,,9031,9031,
"LINESTRING (3.64224421986 51.0470512722,3.64236664586 51.0466779227)",,,1,,,,9031,9031,
